,data,variable,Abruzzo,Basilicata,Calabria,Campania,Emilia-Romagna,Friuli Venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,P.A. Bolzano,P.A. Trento,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Umbria,Valle d'Aosta,Veneto
44,01-07-2021,Totale vaccinazioni,23921.0,67902.0,63268.0,217374.0,306323.0,23992.0,561827.0,45226.0,189452.0,188048.0,34566.0,25936.0,15137.0,513874.0,88116.0,68064.0,133216.0,435248.0,36592.0,6937.0,216911.0
45,01-07-2021,Totale vaccinazioni ogni cento ab,1.83,12.15,3.25,3.75,6.87,1.97,9.56,2.92,1.88,12.33,11.31,4.87,2.8,11.8,2.19,4.15,2.66,11.67,4.15,5.52,4.42
48,01-08-2021,Totale vaccinazioni,19017.0,40446.0,91347.0,498783.0,145778.0,26314.0,737994.0,48152.0,650873.0,149601.0,11696.0,18620.0,55044.0,519402.0,411981.0,5133.0,603049.0,364265.0,17047.0,2107.0,39967.0
49,01-08-2021,Totale vaccinazioni ogni cento ab,1.46,7.23,4.69,8.6,3.27,2.17,12.55,3.11,6.47,9.81,3.83,3.49,10.17,11.92,10.23,0.31,12.06,9.77,1.93,1.68,0.81
52,01-09-2021,Totale vaccinazioni,17492.0,28695.0,149389.0,448034.0,134970.0,84112.0,642501.0,84326.0,31205.0,69293.0,26455.0,43240.0,50216.0,462377.0,335468.0,52453.0,280833.0,196502.0,91564.0,4475.0,405461.0
53,01-09-2021,Totale vaccinazioni ogni cento ab,1.34,5.13,7.67,7.72,3.03,6.92,10.93,5.44,0.31,4.54,8.66,8.11,9.28,10.61,8.33,3.2,5.62,5.27,10.38,3.56,8.26
56,01-10-2021,Totale vaccinazioni,93522.0,76187.0,120492.0,334832.0,263698.0,106874.0,167611.0,175840.0,1158482.0,1737.0,20675.0,87984.0,62436.0,345204.0,341062.0,121154.0,484023.0,152956.0,79163.0,15757.0,444099.0
57,01-10-2021,Totale vaccinazioni ogni cento ab,7.17,13.63,6.19,5.77,5.91,8.79,2.85,11.34,11.52,0.11,6.77,16.51,11.53,7.92,8.47,7.39,9.68,4.1,8.98,12.54,9.05
60,01-11-2021,Totale vaccinazioni,132077.0,72148.0,191490.0,246988.0,107742.0,165678.0,446720.0,153960.0,1207079.0,54208.0,41577.0,65724.0,42919.0,607574.0,182312.0,142755.0,393578.0,321317.0,21894.0,14147.0,590660.0
61,01-11-2021,Totale vaccinazioni ogni cento ab,10.12,12.9,9.83,4.26,2.42,13.63,7.6,9.93,12.0,3.55,13.6,12.33,7.93,13.95,4.52,8.71,7.87,8.62,2.48,11.26,12.04
64,01-12-2021,Totale vaccinazioni,60147.0,36155.0,41277.0,222588.0,273011.0,2259.0,670429.0,17838.0,177894.0,114049.0,39624.0,87982.0,707.0,339997.0,4202.0,84546.0,583317.0,402608.0,107948.0,3088.0,608813.0
65,01-12-2021,Totale vaccinazioni ogni cento ab,4.61,6.47,2.12,3.84,6.12,0.19,11.4,1.15,1.77,7.48,12.97,16.51,0.13,7.8,0.1,5.16,11.67,10.79,12.24,2.46,12.41
68,01-13-2021,Totale vaccinazioni,108445.0,76110.0,57474.0,456053.0,577521.0,109525.0,466301.0,22449.0,948962.0,138361.0,23144.0,75575.0,29558.0,79741.0,112931.0,24848.0,286037.0,425281.0,45579.0,14755.0,177401.0
69,01-13-2021,Totale vaccinazioni ogni cento ab,8.31,13.61,2.95,7.86,12.95,9.01,7.93,1.45,9.43,9.07,7.57,14.18,5.46,1.83,2.8,1.52,5.72,11.4,5.17,11.74,3.62
72,01-14-2021,Totale vaccinazioni,150112.0,20945.0,198150.0,308904.0,63612.0,99298.0,423023.0,13054.0,1146856.0,67584.0,32592.0,4466.0,15833.0,227955.0,286173.0,85651.0,159799.0,206848.0,92367.0,7577.0,603583.0
73,01-14-2021,Totale vaccinazioni ogni cento ab,11.5,3.75,10.18,5.32,1.43,8.17,7.2,0.84,11.4,4.43,10.66,0.84,2.92,5.23,7.1,5.22,3.2,5.55,10.47,6.03,12.3
76,01-15-2021,Totale vaccinazioni,148259.0,29508.0,204228.0,651203.0,502225.0,167706.0,303862.0,53275.0,1231522.0,29963.0,16425.0,42640.0,24536.0,329957.0,290718.0,150734.0,407926.0,178456.0,74954.0,10590.0,596523.0
77,01-15-2021,Totale vaccinazioni ogni cento ab,11.36,5.28,10.49,11.22,11.26,13.8,5.17,3.44,12.24,1.96,5.37,8.0,4.53,7.57,7.22,9.19,8.16,4.78,8.5,8.43,12.16
80,01-16-2021,Totale vaccinazioni,72229.0,51377.0,25821.0,145652.0,418463.0,15034.0,756950.0,177118.0,720480.0,23229.0,7754.0,31825.0,34638.0,283630.0,186985.0,14053.0,188977.0,149955.0,43570.0,537.0,448697.0
81,01-16-2021,Totale vaccinazioni ogni cento ab,5.53,9.19,1.33,2.51,9.38,1.24,12.88,11.42,7.16,1.52,2.54,5.97,6.4,6.51,4.64,0.86,3.78,4.02,4.94,0.43,9.15
84,01-17-2021,Totale vaccinazioni,42914.0,25748.0,77772.0,538954.0,157937.0,30962.0,269201.0,159888.0,379875.0,173741.0,39702.0,62346.0,67170.0,242452.0,365259.0,5993.0,409428.0,299745.0,13760.0,1191.0,488911.0
85,01-17-2021,Totale vaccinazioni ogni cento ab,3.29,4.61,3.99,9.29,3.54,2.55,4.58,10.31,3.78,11.39,12.99,11.7,12.41,5.57,9.07,0.37,8.19,8.04,1.56,0.95,9.97
88,01-18-2021,Totale vaccinazioni,149582.0,19976.0,152153.0,117415.0,225085.0,96143.0,244823.0,82991.0,439655.0,8576.0,4945.0,85434.0,61779.0,293942.0,382650.0,165821.0,469300.0,154075.0,47898.0,10867.0,227902.0
89,01-18-2021,Totale vaccinazioni ogni cento ab,11.46,3.57,7.81,2.02,5.05,7.91,4.16,5.35,4.37,0.56,1.62,16.03,11.41,6.75,9.5,10.11,9.39,4.13,5.43,8.65,4.65
92,01-19-2021,Totale vaccinazioni,168079.0,61364.0,119163.0,12020.0,221960.0,162235.0,42152.0,27357.0,1018518.0,178929.0,18184.0,39613.0,8486.0,115157.0,30317.0,144090.0,94459.0,207952.0,35301.0,12834.0,240947.0
93,01-19-2021,Totale vaccinazioni ogni cento ab,12.88,10.98,6.12,0.21,4.98,13.35,0.72,1.76,10.12,11.73,5.95,7.43,1.57,2.64,0.75,8.79,1.89,5.58,4.0,10.21,4.91
96,01-20-2021,Totale vaccinazioni,158927.0,61165.0,135301.0,347024.0,557352.0,12123.0,147044.0,101590.0,91242.0,2135.0,37135.0,50588.0,41697.0,541394.0,175618.0,59055.0,179324.0,255035.0,63923.0,16499.0,148738.0
97,01-20-2021,Totale vaccinazioni ogni cento ab,12.18,10.94,6.95,5.98,12.5,1.0,2.5,6.55,0.91,0.14,12.15,9.49,7.7,12.43,4.36,3.6,3.59,6.84,7.25,13.13,3.03
100,01-21-2021,Totale vaccinazioni,167968.0,31884.0,133906.0,2093.0,244002.0,18504.0,769923.0,89949.0,535098.0,11443.0,41020.0,73437.0,37649.0,33541.0,311168.0,85777.0,348380.0,174578.0,108558.0,15513.0,475888.0
101,01-21-2021,Totale vaccinazioni ogni cento ab,12.87,5.7,6.88,0.04,5.47,1.52,13.1,5.8,5.32,0.75,13.42,13.78,6.95,0.77,7.72,5.23,6.97,4.68,12.31,12.34,9.7
104,01-22-2021,Totale vaccinazioni,102595.0,48518.0,192146.0,301832.0,207274.0,181480.0,729328.0,194839.0,328292.0,186246.0,18310.0,36013.0,49369.0,108736.0,312577.0,43986.0,55848.0,65909.0,34455.0,5086.0,291934.0
105,01-22-2021,Totale vaccinazioni ogni cento ab,7.86,8.68,9.87,5.2,4.65,14.93,12.41,12.57,3.26,12.21,5.99,6.76,9.12,2.5,7.76,2.68,1.12,1.77,3.91,4.05,5.95
108,01-23-2021,Totale vaccinazioni,103703.0,36862.0,119563.0,268260.0,21747.0,148391.0,677312.0,170922.0,1147970.0,88455.0,,57160.0,3933.0,232174.0,237283.0,83681.0,193126.0,429230.0,75231.0,,617322.0
109,01-23-2021,Totale vaccinazioni ogni cento ab,7.95,6.59,6.14,4.62,0.49,12.21,11.52,11.02,11.41,5.8,,10.72,0.73,5.33,5.89,5.1,3.86,11.51,8.53,,12.58
112,01-24-2021,Totale vaccinazioni,10674.0,44754.0,26030.0,557727.0,275453.0,31267.0,316128.0,167079.0,381060.0,78970.0,,44506.0,38194.0,620956.0,146565.0,174405.0,178516.0,145036.0,48152.0,,266557.0
113,01-24-2021,Totale vaccinazioni ogni cento ab,0.82,8.0,1.34,9.61,6.18,2.57,5.38,10.77,3.79,5.18,,8.35,7.05,14.25,3.64,10.64,3.57,3.89,5.46,,5.43
116,01-25-2021,Totale vaccinazioni,39918.0,33864.0,181434.0,407061.0,114155.0,54951.0,120982.0,123550.0,583369.0,72472.0,37117.0,60076.0,26331.0,121366.0,129743.0,143343.0,516501.0,345131.0,26563.0,16989.0,284226.0
117,01-25-2021,Totale vaccinazioni ogni cento ab,3.06,6.06,9.32,7.02,2.56,4.52,2.06,7.97,5.8,4.75,12.14,11.27,4.86,2.79,3.22,8.74,10.33,9.25,3.01,13.52,5.79
120,01-26-2021,Totale vaccinazioni,158480.0,18722.0,93152.0,598476.0,520876.0,127704.0,390346.0,92662.0,576349.0,151617.0,39238.0,10361.0,66919.0,248780.0,459294.0,128491.0,20310.0,460885.0,32856.0,17391.0,347669.0
121,01-26-2021,Totale vaccinazioni ogni cento ab,12.14,3.35,4.78,10.32,11.68,10.51,6.64,5.98,5.73,9.94,12.84,1.94,12.36,5.71,11.4,7.84,0.41,12.36,3.73,13.84,7.09
124,01-27-2021,Totale vaccinazioni,77850.0,52732.0,110542.0,368621.0,620486.0,94182.0,180289.0,100140.0,591397.0,136256.0,27129.0,83779.0,36917.0,66549.0,248031.0,102948.0,205402.0,168727.0,31371.0,11723.0,155878.0
125,01-27-2021,Totale vaccinazioni ogni cento ab,5.97,9.43,5.68,6.35,13.91,7.75,3.07,6.46,5.88,8.93,8.88,15.72,6.82,1.53,6.16,6.28,4.11,4.52,3.56,9.33,3.18
128,01-28-2021,Totale vaccinazioni,90500.0,73051.0,162330.0,10925.0,661880.0,117987.0,324082.0,139582.0,967945.0,17926.0,30927.0,68822.0,9016.0,598834.0,215731.0,118971.0,119957.0,261310.0,78107.0,11572.0,387643.0
129,01-28-2021,Totale vaccinazioni ogni cento ab,6.94,13.07,8.34,0.19,14.84,9.71,5.51,9.0,9.62,1.18,10.12,12.91,1.67,13.75,5.35,7.26,2.4,7.01,8.86,9.21,7.9
132,01-29-2021,Totale vaccinazioni,4688.0,13028.0,102630.0,242196.0,512551.0,11373.0,601778.0,193028.0,896949.0,206956.0,12117.0,52076.0,63785.0,201524.0,162513.0,55404.0,54613.0,202638.0,87213.0,8686.0,317435.0
133,01-29-2021,Totale vaccinazioni ogni cento ab,0.36,2.33,5.27,4.17,11.49,0.94,10.24,12.45,8.92,13.57,3.96,9.77,11.78,4.63,4.03,3.38,1.09,5.43,9.89,6.91,6.47
136,01-30-2021,Totale vaccinazioni,13718.0,4901.0,39219.0,616434.0,98419.0,40573.0,330731.0,24110.0,680263.0,53032.0,29482.0,43736.0,37300.0,646060.0,270472.0,170801.0,154549.0,477501.0,49729.0,1627.0,506181.0
137,01-30-2021,Totale vaccinazioni ogni cento ab,1.05,0.88,2.01,10.63,2.21,3.34,5.63,1.55,6.76,3.48,9.65,8.2,6.89,14.83,6.71,10.42,3.09,12.8,5.64,1.29,10.32
140,01-31-2021,Totale vaccinazioni,76486.0,35938.0,168818.0,636412.0,434417.0,133739.0,192344.0,167838.0,544825.0,65574.0,11267.0,,52631.0,450758.0,239088.0,108939.0,264662.0,248617.0,33912.0,17975.0,397535.0
141,01-31-2021,Totale vaccinazioni ogni cento ab,5.86,6.43,8.67,10.97,9.74,11.01,3.27,10.82,5.42,4.3,3.69,,9.72,10.35,5.93,6.64,5.29,6.67,3.84,14.3,8.1
144,02-01-2021,Totale vaccinazioni,160559.0,48760.0,37046.0,640397.0,376106.0,161598.0,554103.0,213762.0,560852.0,204965.0,19137.0,46420.0,11483.0,143098.0,92073.0,136024.0,379302.0,230738.0,20322.0,7340.0,239638.0
145,02-01-2021,Totale vaccinazioni ogni cento ab,12.3,8.72,1.9,11.04,8.43,13.3,9.42,13.79,5.57,13.44,6.26,8.71,2.12,3.28,2.29,8.3,7.59,6.19,2.3,5.84,4.88
148,02-02-2021,Totale vaccinazioni,169877.0,74211.0,84736.0,35265.0,474883.0,53369.0,775695.0,173532.0,85665.0,131741.0,24786.0,8931.0,41409.0,617806.0,191316.0,58845.0,347052.0,88387.0,106895.0,14418.0,336640.0
149,02-02-2021,Totale vaccinazioni ogni cento ab,13.02,13.27,4.35,0.61,10.65,4.39,13.19,11.19,0.85,8.64,8.11,1.68,7.65,14.18,4.75,3.59,6.94,2.37,12.12,11.47,6.86
152,02-03-2021,Totale vaccinazioni,89067.0,5567.0,55446.0,673118.0,410142.0,43219.0,32722.0,68601.0,883513.0,28192.0,18011.0,14106.0,9861.0,304127.0,220758.0,166939.0,10795.0,63048.0,37970.0,13233.0,486979.0
153,02-03-2021,Totale vaccinazioni ogni cento ab,6.83,1.0,2.85,11.6,9.2,3.56,0.56,4.42,8.78,1.85,5.89,2.65,1.82,6.98,5.48,10.18,0.22,1.69,4.3,10.53,9.93
156,02-04-2021,Totale vaccinazioni,107192.0,12416.0,19168.0,395880.0,530778.0,180681.0,725666.0,159027.0,858212.0,42021.0,42335.0,64223.0,53602.0,446653.0,465186.0,39963.0,186201.0,245569.0,68276.0,17685.0,354982.0
157,02-04-2021,Totale vaccinazioni ogni cento ab,8.21,2.22,0.98,6.82,11.9,14.87,12.34,10.26,8.53,2.75,13.85,12.05,9.9,10.25,11.55,2.44,3.72,6.58,7.74,14.07,7.24
160,02-05-2021,Totale vaccinazioni,12209.0,75194.0,76905.0,342093.0,604632.0,38302.0,174521.0,71229.0,705216.0,121388.0,35159.0,38802.0,58727.0,158073.0,362196.0,76400.0,436359.0,79263.0,15874.0,8187.0,72905.0
161,02-05-2021,Totale vaccinazioni ogni cento ab,0.94,13.45,3.95,5.9,13.56,3.15,2.97,4.59,7.01,7.96,11.5,7.28,10.85,3.63,8.99,4.66,8.73,2.13,1.8,6.51,1.49
164,02-06-2021,Totale vaccinazioni,175522.0,43121.0,22077.0,326667.0,585047.0,110679.0,37791.0,26001.0,606424.0,140821.0,5973.0,12661.0,66422.0,654042.0,391076.0,174315.0,93188.0,39191.0,42712.0,5375.0,529439.0
165,02-06-2021,Totale vaccinazioni ogni cento ab,13.45,7.71,1.13,5.63,13.12,9.11,0.64,1.68,6.03,9.23,1.95,2.38,12.27,15.01,9.71,10.63,1.86,1.05,4.84,4.28,10.79
168,02-07-2021,Totale vaccinazioni,74984.0,24221.0,118054.0,486838.0,365817.0,163796.0,626879.0,407.0,568024.0,21223.0,15887.0,72522.0,,526396.0,342566.0,145206.0,73174.0,355953.0,91618.0,15480.0,11272.0
169,02-07-2021,Totale vaccinazioni ogni cento ab,5.75,4.33,6.06,8.39,8.2,13.48,10.66,0.03,5.65,1.39,5.2,13.61,,12.08,8.5,8.86,1.46,9.54,10.39,12.32,0.23
172,02-08-2021,Totale vaccinazioni,149460.0,73846.0,51546.0,166508.0,212459.0,33621.0,636213.0,19696.0,371651.0,132574.0,19471.0,8932.0,27480.0,578007.0,195785.0,110409.0,124043.0,472881.0,43349.0,11282.0,322399.0
173,02-08-2021,Totale vaccinazioni ogni cento ab,11.45,13.21,2.65,2.87,4.76,2.77,10.82,1.27,3.69,8.69,6.37,1.68,5.08,13.27,4.86,6.73,2.48,12.68,4.91,8.98,6.57
176,02-09-2021,Totale vaccinazioni,104611.0,26239.0,147473.0,483902.0,229235.0,89022.0,746387.0,150618.0,667954.0,42146.0,10999.0,69139.0,57193.0,62353.0,430627.0,105234.0,467752.0,439736.0,,6159.0,392795.0
177,02-09-2021,Totale vaccinazioni ogni cento ab,8.02,4.69,7.57,8.34,5.14,7.33,12.7,9.71,6.64,2.76,3.6,12.97,10.56,1.43,10.69,6.42,9.36,11.79,,4.9,8.01
180,02-10-2021,Totale vaccinazioni,173911.0,35861.0,122955.0,573196.0,612170.0,125732.0,188065.0,170113.0,995580.0,63647.0,5095.0,56025.0,52557.0,416082.0,316180.0,57363.0,269095.0,172989.0,45129.0,1060.0,378440.0
181,02-10-2021,Totale vaccinazioni ogni cento ab,13.33,6.41,6.31,9.88,13.73,10.35,3.2,10.97,9.9,4.17,1.67,10.51,9.71,9.55,7.85,3.5,5.38,4.64,5.12,0.84,7.71
184,02-11-2021,Totale vaccinazioni,114428.0,21896.0,73110.0,375819.0,681770.0,155374.0,608435.0,29309.0,800329.0,51124.0,19764.0,54395.0,3363.0,238935.0,125923.0,164917.0,32818.0,84646.0,67544.0,18819.0,22718.0
185,02-11-2021,Totale vaccinazioni ogni cento ab,8.77,3.92,3.75,6.48,15.29,12.79,10.35,1.89,7.96,3.35,6.47,10.2,0.62,5.48,3.13,10.06,0.66,2.27,7.66,14.98,0.46
188,02-12-2021,Totale vaccinazioni,61115.0,1783.0,170529.0,300309.0,543701.0,115752.0,113221.0,125456.0,234746.0,70876.0,36103.0,81149.0,36183.0,311008.0,166611.0,152971.0,197871.0,73515.0,32042.0,17252.0,277760.0
189,02-12-2021,Totale vaccinazioni ogni cento ab,4.68,0.32,8.76,5.18,12.19,9.53,1.93,8.09,2.33,4.65,11.81,15.22,6.68,7.14,4.14,9.33,3.96,1.97,3.63,13.73,5.66
192,02-13-2021,Totale vaccinazioni,103440.0,43920.0,180370.0,587246.0,608235.0,96710.0,356136.0,54354.0,1191073.0,165532.0,41014.0,46738.0,35174.0,287780.0,443107.0,172345.0,495948.0,225273.0,104585.0,12578.0,262441.0
193,02-13-2021,Totale vaccinazioni ogni cento ab,7.93,7.86,9.26,10.12,13.64,7.96,6.06,3.51,11.84,10.85,13.42,8.77,6.5,6.61,11.0,10.51,9.92,6.04,11.86,10.01,5.35
196,02-14-2021,Totale vaccinazioni,,40597.0,89238.0,591179.0,230633.0,,238988.0,90182.0,1022076.0,152738.0,,,74177.0,456194.0,482167.0,19984.0,480405.0,316225.0,,12882.0,156003.0
197,02-14-2021,Totale vaccinazioni ogni cento ab,,7.26,4.58,10.19,5.17,,4.07,5.82,10.16,10.01,,,13.7,10.47,11.97,1.22,9.61,8.48,,10.25,3.18
200,02-15-2021,Totale vaccinazioni,25717.0,2404.0,52683.0,479259.0,483082.0,177950.0,764676.0,156214.0,281946.0,19352.0,45352.0,56097.0,62310.0,320996.0,338716.0,101475.0,440310.0,270080.0,105953.0,3352.0,533825.0
201,02-15-2021,Totale vaccinazioni ogni cento ab,1.97,0.43,2.71,8.26,10.83,14.64,13.01,10.07,2.8,1.27,14.84,10.52,11.51,7.37,8.41,6.19,8.81,7.24,12.01,2.67,10.88
204,02-16-2021,Totale vaccinazioni,74207.0,7372.0,150923.0,401317.0,12261.0,170222.0,507978.0,15445.0,18827.0,85874.0,15749.0,45035.0,50032.0,454719.0,356574.0,48427.0,273508.0,187723.0,104470.0,4800.0,290855.0
205,02-16-2021,Totale vaccinazioni ogni cento ab,5.69,1.32,7.75,6.92,0.27,14.01,8.64,1.0,0.19,5.63,5.15,8.45,9.24,10.44,8.85,2.95,5.47,5.03,11.84,3.82,5.93
208,02-17-2021,Totale vaccinazioni,33588.0,11324.0,124636.0,437468.0,6533.0,172572.0,142654.0,117590.0,782866.0,193680.0,15821.0,44494.0,44027.0,206254.0,309039.0,43903.0,99889.0,382785.0,103163.0,5702.0,297938.0
209,02-17-2021,Totale vaccinazioni ogni cento ab,2.57,2.03,6.4,7.54,0.15,14.2,2.43,7.58,7.78,12.7,5.18,8.35,8.13,4.73,7.67,2.68,2.0,10.26,11.7,4.54,6.07
212,02-18-2021,Totale vaccinazioni,16009.0,23848.0,179039.0,430080.0,19304.0,71338.0,223754.0,107438.0,295883.0,62208.0,38788.0,17132.0,34320.0,497209.0,243456.0,1876.0,450963.0,17113.0,8253.0,10060.0,78605.0
213,02-18-2021,Totale vaccinazioni ogni cento ab,1.23,4.27,9.2,7.41,0.43,5.87,3.81,6.93,2.94,4.08,12.69,3.21,6.34,11.41,6.04,0.11,9.02,0.46,0.94,8.01,1.6
216,02-19-2021,Totale vaccinazioni,22318.0,42219.0,182895.0,232144.0,70905.0,74590.0,233452.0,104682.0,158167.0,10547.0,31096.0,21429.0,8083.0,148624.0,65736.0,21479.0,445469.0,25410.0,35198.0,10352.0,163295.0
217,02-19-2021,Totale vaccinazioni ogni cento ab,1.71,7.55,9.39,4.0,1.59,6.14,3.97,6.75,1.57,0.69,10.17,4.02,1.49,3.41,1.63,1.31,8.91,0.68,3.99,8.24,3.33
220,02-20-2021,Totale vaccinazioni,98303.0,39892.0,34549.0,566292.0,480192.0,35689.0,594184.0,189988.0,9385.0,156865.0,45208.0,23400.0,10266.0,384747.0,82409.0,100517.0,541955.0,126103.0,55170.0,13483.0,556951.0
221,02-20-2021,Totale vaccinazioni ogni cento ab,7.53,7.14,1.77,9.76,10.77,2.94,10.11,12.25,0.09,10.28,14.79,4.39,1.9,8.83,2.05,6.13,10.84,3.38,6.25,10.73,11.35
224,02-21-2021,Totale vaccinazioni,167811.0,55752.0,142784.0,537799.0,235039.0,159505.0,310661.0,37341.0,655877.0,60104.0,21248.0,,65850.0,629581.0,184483.0,106818.0,474476.0,253721.0,,15531.0,424503.0
225,02-21-2021,Totale vaccinazioni ogni cento ab,12.86,9.97,7.33,9.27,5.27,13.13,5.28,2.41,6.52,3.94,6.95,,12.16,14.45,4.58,6.51,9.49,6.8,,12.36,8.65
228,02-22-2021,Totale vaccinazioni,113612.0,59690.0,200146.0,142283.0,219921.0,147575.0,53565.0,180425.0,458983.0,49136.0,18575.0,29035.0,33124.0,534856.0,205363.0,112062.0,578775.0,163892.0,110501.0,7893.0,329358.0
229,02-22-2021,Totale vaccinazioni ogni cento ab,8.71,10.68,10.28,2.45,4.93,12.14,0.91,11.64,4.56,3.22,6.08,5.45,6.12,12.28,5.1,6.83,11.58,4.39,12.53,6.28,6.71
232,02-23-2021,Totale vaccinazioni,141318.0,63265.0,64817.0,102224.0,314513.0,57566.0,540956.0,114967.0,923180.0,99799.0,8281.0,86455.0,65695.0,42767.0,122230.0,30029.0,326070.0,415571.0,19062.0,16056.0,525349.0
233,02-23-2021,Totale vaccinazioni ogni cento ab,10.83,11.32,3.33,1.76,7.05,4.74,9.2,7.41,9.18,6.54,2.71,16.22,12.13,0.98,3.03,1.83,6.52,11.14,2.16,12.78,10.71
236,02-24-2021,Totale vaccinazioni,3302.0,14831.0,100582.0,521565.0,155048.0,153444.0,74232.0,111172.0,911511.0,164451.0,46018.0,82510.0,47741.0,473759.0,156325.0,83621.0,215002.0,374610.0,12045.0,8370.0,497451.0
237,02-24-2021,Totale vaccinazioni ogni cento ab,0.25,2.65,5.17,8.99,3.48,12.63,1.26,7.17,9.06,10.78,15.06,15.48,8.82,10.87,3.88,5.1,4.3,10.04,1.37,6.66,10.14
