,data,area,Vaccinazioni giornaliere,sesso_maschile,sesso_femminile,prima_dose,seconda_dose,pregressa_infezione,dose_aggiuntiva,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area,Regione,popolazione,Totale vaccinazioni,Totale vaccinazioni ogni cento ab,Vaccinazioni giornaliere ogni cento ab
21,2021-07-01,SIC,31040,14100,16940,10779,20003,258,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,490895,9.82,0.62
22,2021-02-13,SIC,2979,1124,1855,2686,256,37,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,493874,9.88,0.06
23,2021-05-24,SIC,35894,17454,18440,15596,20065,233,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,529768,10.6,0.72
24,2021-08-15,SIC,2513,1428,1085,1509,954,50,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,532281,10.65,0.05
25,2021-08-01,SIC,19967,10433,9534,7852,11968,147,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,552248,11.05,0.4
26,2021-06-19,SIC,44308,21065,23243,18760,25225,323,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,596556,11.93,0.89
27,2021-04-23,SIC,28632,13723,14909,22404,5842,386,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,625188,12.5,0.57
28,2021-08-10,SIC,21835,10879,10956,10653,10918,264,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,647023,12.94,0.44
29,2021-02-23,SIC,8785,4667,4118,8229,468,88,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,655808,13.12,0.18
30,2021-03-09,SIC,13192,5782,7410,10842,2218,132,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,669000,13.38,0.26
31,2021-01-11,SIC,5937,2621,3316,5876,0,61,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,674937,13.5,0.12
32,2021-04-04,SIC,6800,3323,3477,5433,1295,72,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,681737,13.64,0.14
33,2021-07-13,SIC,46146,21180,24966,6921,39003,222,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,727883,14.56,0.92
34,2021-09-17,SIC,21219,10768,10451,7991,12756,472,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,749102,14.98,0.42
35,2021-05-05,SIC,26412,12236,14176,16276,9688,448,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,775514,15.51,0.53
36,2021-05-19,SIC,42921,20780,22141,28198,14339,384,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,818435,16.37,0.86
37,2021-07-27,SIC,43342,21482,21860,19267,23611,464,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,861777,17.24,0.87
38,2021-02-11,SIC,5239,2061,3178,4654,467,118,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,867016,17.34,0.1
39,2021-05-31,SIC,38144,17173,20971,21287,16561,296,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,905160,18.1,0.76
40,2021-09-08,SIC,20321,10120,10201,9206,10705,410,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,925481,18.51,0.41
41,2021-08-22,SIC,10330,5503,4827,3913,6299,118,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,935811,18.72,0.21
42,2021-04-09,SIC,20236,9845,10391,10919,9050,267,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,956047,19.12,0.4
43,2021-03-23,SIC,20975,10090,10885,15231,5567,177,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,977022,19.54,0.42
44,2021-09-22,SIC,24154,12475,11679,8127,15572,393,62,ITG,ITG1,19,Sicilia,Sicilia,4999891,1001176,20.02,0.48
45,2020-12-28,SIC,270,166,104,269,0,1,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1001446,20.03,0.01
46,2021-08-27,SIC,23372,11886,11486,9855,13189,328,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1024818,20.5,0.47
47,2021-05-17,SIC,31939,15411,16528,18994,12648,297,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1056757,21.14,0.64
48,2021-03-21,SIC,15227,7347,7880,11183,3971,73,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1071984,21.44,0.3
49,2021-02-06,SIC,4736,2119,2617,1450,3266,20,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1076720,21.53,0.09
50,2021-06-26,SIC,37271,17783,19488,16351,20612,308,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1113991,22.28,0.75
51,2021-04-30,SIC,35062,16360,18702,23517,11058,487,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1149053,22.98,0.7
52,2021-03-04,SIC,15260,6710,8550,11009,4122,129,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1164313,23.29,0.31
53,2021-08-08,SIC,15319,8132,7187,7411,7716,192,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1179632,23.59,0.31
54,2021-06-12,SIC,45804,22400,23404,39371,5897,536,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1225436,24.51,0.92
55,2021-06-04,SIC,57872,26770,31102,45395,11962,515,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1283308,25.67,1.16
56,2021-09-12,SIC,14015,7470,6545,4974,8809,232,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1297323,25.95,0.28
57,2021-03-16,SIC,9643,4334,5309,3568,6003,72,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1306966,26.14,0.19
58,2021-07-08,SIC,38406,17497,20909,6528,31651,227,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1345372,26.91,0.77
59,2021-02-27,SIC,12242,5506,6736,10937,1204,101,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1357614,27.15,0.24
60,2021-07-12,SIC,49016,22621,26395,6438,42375,203,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1406630,28.13,0.98
61,2021-04-16,SIC,28870,14503,14367,20239,8302,329,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1435500,28.71,0.58
62,2021-01-23,SIC,4493,2312,2181,207,4276,10,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1439993,28.8,0.09
63,2021-01-06,SIC,6270,3301,2969,6206,0,64,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1446263,28.93,0.13
64,2021-04-02,SIC,13906,6561,7345,9045,4739,122,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1460169,29.2,0.28
65,2021-02-10,SIC,4355,1777,2578,3887,384,84,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1464524,29.29,0.09
66,2021-05-21,SIC,48723,23083,25640,26667,21630,426,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1513247,30.27,0.97
67,2021-02-18,SIC,5342,3148,2194,4843,431,68,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1518589,30.37,0.11
68,2021-05-12,SIC,36868,17396,19472,21402,14925,541,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1555457,31.11,0.74
69,2021-08-20,SIC,18797,9361,9436,9857,8674,266,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1574254,31.49,0.38
70,2021-07-17,SIC,49327,24296,25031,9312,39714,301,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1623581,32.47,0.99
71,2021-04-08,SIC,19024,9347,9677,9280,9542,202,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1642605,32.85,0.38
72,2021-06-16,SIC,40449,18808,21641,21270,18819,360,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1683054,33.66,0.81
73,2021-09-24,SIC,19973,10199,9774,8306,11091,434,142,ITG,ITG1,19,Sicilia,Sicilia,4999891,1703027,34.06,0.4
74,2021-03-25,SIC,20478,9536,10942,14746,5550,182,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1723505,34.47,0.41
75,2021-07-03,SIC,33887,16290,17597,9028,24612,247,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1757392,35.15,0.68
76,2021-02-04,SIC,6761,3083,3678,1419,5313,29,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1764153,35.28,0.14
77,2021-09-03,SIC,21900,11063,10837,9922,11604,374,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1786053,35.72,0.44
78,2021-01-01,SIC,855,454,401,851,0,4,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1786908,35.74,0.02
79,2021-04-20,SIC,18995,9004,9991,13435,5249,311,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1805903,36.12,0.38
80,2021-04-06,SIC,17768,8487,9281,13254,4299,215,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1823671,36.47,0.36
81,2021-02-22,SIC,7948,4132,3816,7369,493,86,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1831619,36.63,0.16
82,2020-12-27,SIC,148,95,53,147,0,1,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1831767,36.64,0.0
83,2021-06-02,SIC,35284,16298,18986,27102,7782,400,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1867051,37.34,0.71
84,2021-09-19,SIC,12236,7011,5225,5031,7014,191,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1879287,37.59,0.24
85,2021-03-01,SIC,12773,6076,6697,10989,1658,126,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1892060,37.84,0.26
86,2021-05-16,SIC,33719,16444,17275,21888,11529,302,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1925779,38.52,0.67
87,2021-05-02,SIC,24617,11434,13183,17694,6607,316,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1950396,39.01,0.49
88,2021-03-20,SIC,18607,8987,9620,13366,5146,95,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1969003,39.38,0.37
89,2021-08-24,SIC,23726,11756,11970,10955,12401,370,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,1992729,39.86,0.47
90,2021-06-28,SIC,31950,14881,17069,14907,16749,294,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2024679,40.49,0.64
91,2021-02-08,SIC,3888,1680,2208,2081,1759,48,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2028567,40.57,0.08
92,2021-01-22,SIC,1294,641,653,260,1032,2,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2029861,40.6,0.03
93,2021-01-08,SIC,8163,3800,4363,8070,0,93,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2038024,40.76,0.16
94,2021-04-18,SIC,19837,9919,9918,15280,4364,193,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2057861,41.16,0.4
95,2021-08-12,SIC,15124,7584,7540,7973,6906,245,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2072985,41.46,0.3
96,2021-04-01,SIC,14331,6627,7704,9515,4671,145,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2087316,41.75,0.29
97,2021-07-10,SIC,46921,22358,24563,6053,40658,210,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2134237,42.69,0.94
98,2021-02-20,SIC,7172,3708,3464,6802,272,98,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2141409,42.83,0.14
99,2021-02-03,SIC,5947,2793,3154,706,5233,8,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2147356,42.95,0.12
100,2021-04-27,SIC,26461,12689,13772,15144,10961,356,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2173817,43.48,0.53
101,2021-08-05,SIC,23866,11850,12016,11520,12037,309,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2197683,43.95,0.48
102,2021-07-29,SIC,36227,17899,18328,14336,21549,342,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2233910,44.68,0.72
103,2021-07-24,SIC,40738,21216,19522,16788,23634,316,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2274648,45.49,0.81
104,2021-09-07,SIC,22721,11305,11416,9479,12820,422,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2297369,45.95,0.45
105,2021-03-06,SIC,12652,5064,7588,9766,2783,103,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2310021,46.2,0.25
106,2021-09-05,SIC,12743,6905,5838,5499,7049,195,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2322764,46.46,0.25
107,2021-06-14,SIC,43494,20660,22834,28165,14899,430,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2366258,47.33,0.87
108,2021-05-28,SIC,51288,22993,28295,24319,26556,413,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2417546,48.35,1.03
109,2021-08-19,SIC,19569,9767,9802,10489,8766,314,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2437115,48.74,0.39
110,2021-06-09,SIC,49790,23685,26105,41912,7267,611,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2486905,49.74,1.0
111,2021-07-05,SIC,37553,17627,19926,8919,28393,241,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2524458,50.49,0.75
112,2021-06-21,SIC,40254,18634,21620,18419,21505,330,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2564712,51.3,0.81
113,2021-05-09,SIC,28443,13324,15119,19764,8299,380,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2593155,51.86,0.57
114,2021-08-17,SIC,18573,9499,9074,10105,8142,326,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2611728,52.24,0.37
115,2021-08-31,SIC,27978,14181,13797,10312,17367,299,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2639706,52.8,0.56
116,2021-03-30,SIC,14589,6774,7815,9714,4771,104,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2654295,53.09,0.29
117,2021-03-13,SIC,12227,5396,6831,7635,4499,93,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2666522,53.33,0.24
118,2021-04-17,SIC,26012,13154,12858,18660,7068,284,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2692534,53.85,0.52
119,2021-06-23,SIC,44523,20716,23807,17926,26258,339,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2737057,54.74,0.89
120,2021-01-24,SIC,4340,2270,2070,121,4217,2,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2741397,54.83,0.09
121,2021-02-15,SIC,3777,1769,2008,3137,564,76,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2745174,54.9,0.08
122,2021-07-22,SIC,40689,19976,20713,11234,29157,298,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2785863,55.72,0.81
123,2021-05-26,SIC,44749,21043,23706,23908,20495,346,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2830612,56.61,0.89
124,2021-01-03,SIC,4820,2520,2300,4786,0,34,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2835432,56.71,0.1
125,2021-04-13,SIC,20270,9874,10396,11225,8844,201,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2855702,57.12,0.41
126,2021-07-31,SIC,28764,14940,13824,10447,18049,268,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2884466,57.69,0.58
127,2021-05-14,SIC,52251,24501,27750,35779,15685,787,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2936717,58.74,1.05
128,2021-01-15,SIC,5326,2336,2990,5259,0,67,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2942043,58.84,0.11
129,2021-04-25,SIC,21404,10208,11196,16133,5019,252,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2963447,59.27,0.43
130,2021-02-01,SIC,5955,2642,3313,290,5651,14,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2969402,59.39,0.12
131,2021-03-22,SIC,16695,7922,8773,11167,5432,96,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,2986097,59.72,0.33
132,2021-06-30,SIC,32623,15043,17580,11445,20855,323,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3018720,60.38,0.65
133,2020-12-29,SIC,299,185,114,298,0,1,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3019019,60.38,0.01
134,2021-09-21,SIC,24019,12421,11598,7935,15627,413,44,ITG,ITG1,19,Sicilia,Sicilia,4999891,3043038,60.86,0.48
135,2021-08-09,SIC,25179,12862,12317,12481,12319,379,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3068217,61.37,0.5
136,2021-01-19,SIC,1527,677,850,1271,241,15,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3069744,61.4,0.03
137,2021-06-11,SIC,49977,23849,26128,41592,7712,673,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3119721,62.4,1.0
138,2021-04-29,SIC,31821,14849,16972,21797,9562,462,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3151542,63.03,0.64
139,2021-03-03,SIC,14592,6553,8039,11383,3077,132,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3166134,63.32,0.29
140,2021-08-07,SIC,20051,10400,9651,10812,8901,338,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3186185,63.73,0.4
141,2021-08-16,SIC,20317,10431,9886,10909,9090,318,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3206502,64.13,0.41
142,2021-07-26,SIC,44561,22211,22350,16705,27485,371,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3251063,65.02,0.89
143,2021-03-17,SIC,15057,7445,7612,9077,5853,127,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3266120,65.32,0.3
144,2021-06-25,SIC,39813,18685,21128,17385,22086,342,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3305933,66.12,0.8
145,2021-07-09,SIC,44833,20691,24142,6403,38246,184,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3350766,67.02,0.9
146,2021-09-04,SIC,18308,9851,8457,8358,9605,345,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3369074,67.38,0.37
147,2021-02-05,SIC,6789,3006,3783,2086,4665,38,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3375863,67.52,0.14
148,2021-04-03,SIC,16422,7819,8603,13418,2838,166,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3392285,67.85,0.33
149,2021-05-04,SIC,26863,12477,14386,17142,9299,422,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3419148,68.38,0.54
150,2021-09-16,SIC,19495,9723,9772,6583,12533,379,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3438643,68.77,0.39
151,2021-01-10,SIC,3567,1598,1969,3545,0,22,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3442210,68.85,0.07
152,2021-01-05,SIC,10637,5231,5406,10554,0,83,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3452847,69.06,0.21
153,2021-04-15,SIC,21591,10496,11095,11994,9358,239,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3474438,69.49,0.43
154,2021-02-19,SIC,4981,2696,2285,4330,564,87,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3479419,69.59,0.1
155,2021-03-08,SIC,13525,5975,7550,10779,2616,130,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3492944,69.86,0.27
156,2021-08-21,SIC,13739,7168,6571,6197,7353,189,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3506683,70.14,0.27
157,2021-05-30,SIC,35790,16180,19610,17431,18063,296,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3542473,70.85,0.72
158,2021-05-13,SIC,47503,22278,25225,30292,16558,653,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3589976,71.8,0.95
159,2021-01-31,SIC,4061,1943,2118,107,3952,2,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3594037,71.88,0.08
160,2021-05-11,SIC,32692,15504,17188,19676,12503,513,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3626729,72.54,0.65
161,2021-02-17,SIC,5222,3204,2018,4499,670,53,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3631951,72.64,0.1
162,2021-06-13,SIC,34550,17168,17382,30604,3512,434,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3666501,73.33,0.69
163,2021-02-24,SIC,9379,4803,4576,8701,567,111,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3675880,73.52,0.19
164,2021-01-21,SIC,1459,716,743,490,958,11,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3677339,73.55,0.03
165,2021-06-06,SIC,49539,23925,25614,41147,7832,560,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3726878,74.54,0.99
166,2021-09-14,SIC,24467,11893,12574,8722,15262,483,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3751345,75.03,0.49
167,2021-02-26,SIC,11988,5882,6106,10191,1681,116,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3763333,75.27,0.24
168,2021-05-06,SIC,29492,14020,15472,18154,10843,495,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3792825,75.86,0.59
169,2021-08-28,SIC,20875,11180,9695,7259,13394,222,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3813700,76.28,0.42
170,2021-08-14,SIC,6145,3343,2802,3308,2716,121,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3819845,76.4,0.12
171,2021-03-27,SIC,15703,7406,8297,10685,4890,128,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3835548,76.71,0.31
172,2021-03-15,SIC,10693,4737,5956,5658,4955,80,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3846241,76.93,0.21
173,2021-06-20,SIC,33454,15830,17624,15111,18080,263,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3879695,77.6,0.67
174,2021-04-22,SIC,26776,12642,14134,19887,6463,426,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3906471,78.13,0.54
175,2021-03-10,SIC,13961,6135,7826,11625,2187,149,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3920432,78.41,0.28
176,2021-01-12,SIC,4378,2143,2235,4332,0,46,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3924810,78.5,0.09
177,2021-04-10,SIC,20450,9979,10471,11300,8973,177,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3945260,78.91,0.41
178,2021-01-17,SIC,1315,599,716,1240,66,9,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3946575,78.93,0.03
179,2021-07-02,SIC,30580,14241,16339,9940,20353,287,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,3977155,79.54,0.61
180,2021-07-19,SIC,48988,23603,25385,11655,36973,360,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,4026143,80.52,0.98
181,2021-04-24,SIC,31218,14719,16499,23139,7642,437,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,4057361,81.15,0.62
182,2021-08-02,SIC,33000,16403,16597,12853,19795,352,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,4090361,81.81,0.66
183,2021-03-31,SIC,14527,6710,7817,9441,4937,149,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,4104888,82.1,0.29
184,2021-01-07,SIC,9077,4213,4864,8993,0,84,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,4113965,82.28,0.18
185,2021-05-01,SIC,24460,11322,13138,18998,5172,290,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,4138425,82.77,0.49
186,2021-07-06,SIC,37167,17181,19986,10307,26546,314,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,4175592,83.51,0.74
187,2021-05-10,SIC,28743,13799,14944,16158,12221,364,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,4204335,84.09,0.57
188,2021-08-18,SIC,21953,11327,10626,11670,9909,374,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,4226288,84.53,0.44
189,2021-07-28,SIC,37671,18872,18799,14686,22661,324,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,4263959,85.28,0.75
190,2021-06-22,SIC,40058,18410,21648,18339,21340,379,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,4304017,86.08,0.8
191,2021-01-29,SIC,9186,4257,4929,403,8771,12,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,4313203,86.27,0.18
192,2021-02-12,SIC,4606,1829,2777,4241,286,79,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,4317809,86.36,0.09
193,2021-05-23,SIC,34113,16609,17504,19856,14028,229,0,ITG,ITG1,19,Sicilia,Sicilia,4999891,4351922,87.04,0.68
